Company Name,Company ID,Company Type,Origin,Is Subsidiary,Parent,Property Name,Also Known As,Property ID,Royalty,Equity,Controlling Ownership,Operator,Country/ Region,Country/Region Risk Score & Outlook,Development Stage,Activity Status,Commodity(s),Primary Commodity,Primary Reserves and Resources,Unit,Total In-Situ Value ($M),Reserves & Resources As Of Date,Project Type,Coordinates,Coordinate Accuracy,Map Link,Construction Start,Production Start,Closure ,Sources/Notes,lat,lon,COUNTY,STATE,ST_ABBR,FIPS,RPL_THEMES,EP_AIAN,SVI_Category,FIPS_5,DRGT_EALT,DRGT_EALR,DRGT_RISKV,DRGT_RISKR,DRGT_RISKS,DRGT_MID_LOWER_HM,DRGT_MID_LOWER_PRISKS,DRGT_MID_LOWER_PRISKR,DRGT_MID_LOWER_PALR,DRGT_MID_LOWER_DELTAR,DRGT_MID_HIGHER_HM,DRGT_MID_HIGHER_PRISKS,DRGT_MID_HIGHER_PRISKR,DRGT_MID_HIGHER_PALR,DRGT_MID_HIGHER_DELTAR,DRGT_LATE_LOWER_HM,DRGT_LATE_LOWER_PRISKS,DRGT_LATE_LOWER_PRISKR,DRGT_LATE_LOWER_PALR,DRGT_LATE_LOWER_DELTAR,DRGT_LATE_HIGHER_HM,DRGT_LATE_HIGHER_PRISKS,DRGT_LATE_HIGHER_PRISKR,DRGT_LATE_HIGHER_PALR,DRGT_LATE_HIGHER_DELTAR
"5E Advanced Materials, Inc.",432539524,Public,USA,No,"5E Advanced Materials, Inc.",Fort Cady,"5E Boron Americas, 5E Boron Americas Complex, FCH, Hector",79246,,100.0,100.0,5E Advanced Materials Inc.,USA,1.5 Moderate,Construction Started,Active,"Lithium, Borates, Potash, Gypsum",Lithium,124000.0,tonnes,2009.8,4/1/23,"Brine, In-Situ Leach","34.755960,-116.416390",Exact,,2022.0,2026.0,2055.0,,34.75596,-116.41639,San Bernardino County,California,CA,6071,0.8858,0.3,Very High,6071,62559.3052,Relatively Low (21.9K - 292K),89354.17064,Relatively Low,64.23798918,3.199752685,73.24,Relatively Low,Relatively Low (21.9K - 292K),Relatively High (2.8x - 4.58x),3.975733857,74.55,Relatively Moderate,Relatively Low (21.9K - 292K),Relatively High (2.8x - 4.58x),4.179828237,73.5,Relatively Moderate,Relatively Low (21.9K - 292K),Relatively High (2.8x - 4.58x),6.216667001,66.34,Relatively Moderate,Relatively Moderate (292K - 2.74M),Very High (>4.58x)
"5E Advanced Materials, Inc.",432539524,Public,USA,No,"5E Advanced Materials, Inc.",Salt Wells,"Salt Wells North, Salt Wells South",81824,,100.0,100.0,5E Advanced Materials Inc.,USA,1.5 Moderate,Target Outline,Active,"Lithium, Borates",Lithium,,,,,Project,"39.277470,-118.455530",Exact,,,,,,39.27747,-118.45553,Churchill County,Nevada,NV,32001,0.6271,3.4,High,32001,6915172.454,Relatively High (2.74M - 25.1M),8729379.457,Relatively High,98.98186446,2.193340716,98.89,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),2.844604566,98.95,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),2.980066864,98.98,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.170773893,98.82,Very High,Very High (>25.1M),Very High (>4.58x)
ACME Lithium Inc.,416156431,Public,Canada,No,ACME Lithium Inc.,Clayton Valley,"CC, CCP, SX",88380,,100.0,100.0,GeoXplor Corp.,USA,1.5 Moderate,Reserves Development,Active,Lithium,Lithium,122368.0,tonnes,1983.3,03/13/2024,Project,"37.807560,-117.588130",Exact,,,,,,37.80756,-117.58813,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
AJN Resources Inc.,550586502,Public,Canada,No,AJN Resources Inc.,Salt Wells,,87978,,100.0,100.0,AJN Resources Inc.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Project,"39.341440,-118.566350",Exact,,,,,,39.34144,-118.56635,Churchill County,Nevada,NV,32001,0.6271,3.4,High,32001,6915172.454,Relatively High (2.74M - 25.1M),8729379.457,Relatively High,98.98186446,2.193340716,98.89,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),2.844604566,98.95,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),2.980066864,98.98,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.170773893,98.82,Very High,Very High (>25.1M),Very High (>4.58x)
Albemarle Corporation,18671,Public,USA,No,Albemarle Corporation,Kings Mountain,Foote,37603,,100.0,100.0,Albemarle Corp.,USA,1.5 Moderate,Prefeas/Scoping,Active,"Lithium, Spodumene",Lithium,1113000.0,tonnes,18039.5,12/31/21,Project,"35.223610,-81.347780",Exact,,,2026.0,,,35.22361,-81.34778,Cleveland County,North Carolina,NC,37045,0.8524,0.1,Very High,37045,7095.159111,Very Low (<21.9K),8809.507178,Very Low,38.05281578,1.0,33.53,Very Low,Very Low (<21.9K),Very Low (<1.32x),1.330861649,34.97,Very Low,Very Low (<21.9K),Relatively Low (1.32x - 1.85x),1.333339587,33.95,Very Low,Very Low (<21.9K),Relatively Low (1.32x - 1.85x),4.473224967,36.68,Relatively Low,Relatively Low (21.9K - 292K),Relatively High (2.8x - 4.58x)
Albemarle Corporation,18671,Public,USA,No,Albemarle Corporation,Silver Peak,,37600,,100.0,100.0,Albemarle Corp.,USA,1.5 Moderate,Operating,Active,Lithium,Lithium,447000.0,tonnes,7245.0,12/31/23,Brine,"37.775440,-117.579310",Exact,,,1967.0,2054.0,,37.77544,-117.57931,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
American Lithium Corp.,3169954,Public,Canada,No,American Lithium Corp.,TLC,"Claystone, Crescent Dunes, TLC North, Tonopah Lithium Claims, Tonopah Lithium Claystone, West Claim",83014,,100.0,100.0,American Lithium Corp.,USA,1.5 Moderate,Prefeas/Scoping,Active,"Lithium, Magnesium ",Lithium,4300000.0,tonnes,69694.4,10/06/2022,Open Pit,"38.154120,-117.272170",Exact,,,2028.0,2068.0,,38.15412,-117.27217,Nye County,Nevada,NV,32023,0.7954,1.0,Very High,32023,4149.252472,Very Low (<21.9K),3898.984843,Very Low,30.48043271,2.207770352,33.28,Very Low,Very Low (<21.9K),Relatively Moderate (1.85x - 2.8x),3.045589737,35.22,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),3.332210658,35.13,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),5.455757612,31.15,Very Low,Relatively Low (21.9K - 292K),Very High (>4.58x)
Ameriwest Lithium Inc.,649085287,Public,USA,No,Ameriwest Lithium Inc.,Railroad Valley,RRV,78995,,15.0,0.0,Pure Energy Minerals Ltd.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Project,"38.311420,-115.770400",Exact,,,,,,38.31142,-115.7704,Nye County,Nevada,NV,32023,0.7954,1.0,Very High,32023,4149.252472,Very Low (<21.9K),3898.984843,Very Low,30.48043271,2.207770352,33.28,Very Low,Very Low (<21.9K),Relatively Moderate (1.85x - 2.8x),3.045589737,35.22,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),3.332210658,35.13,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),5.455757612,31.15,Very Low,Relatively Low (21.9K - 292K),Very High (>4.58x)
Ameriwest Lithium Inc.,649085287,Public,USA,No,Ameriwest Lithium Inc.,Thompson Valley,TV,90717,,100.0,100.0,Ameriwest Lithium Inc.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Project,"34.494490,-112.857230",Exact,,,,,,34.49449,-112.85723,Yavapai County,Arizona,AZ,4025,0.5991,1.1,High,4025,10062.51275,Very Low (<21.9K),13022.67785,Very Low,41.96627426,2.467521314,46.87,Relatively Low,Relatively Low (21.9K - 292K),Relatively Moderate (1.85x - 2.8x),3.452417163,48.68,Relatively Low,Relatively Low (21.9K - 292K),Relatively High (2.8x - 4.58x),3.894137039,48.23,Relatively Low,Relatively Low (21.9K - 292K),Relatively High (2.8x - 4.58x),5.723172578,43.05,Relatively Low,Relatively Low (21.9K - 292K),Very High (>4.58x)
Anson Resources Limited,104609506,Public,Australia,No,Anson Resources Limited,Paradox,"Big Flat, Big Rock Fed, Cane, Cane Creek, Clastic, Cloud, Coors, Coors USA, Fed Bartlett Flat, Gold Bar, Green Energy, Hobson USA, Kane Springs, LC A1, LC South, LC2, LCW1, LCW2, Leadville, Little Valley, Long Canyon, Long Canyon South, Matthew Fed, Matthew Federal, Mineral Canyon, Mineral Canyon Fed, Mineral Canyon Fed 1-3, Mineral Canyon Wells, Mississippian, ML54099, Roberts Rupture, Robert's Rupture, Robert's Well, Skyline, Sunburst, Sunburst 1, The Little Utah, Utah, White Cloud",79424,,100.0,100.0,Anson Resources Ltd,USA,1.5 Moderate,Feasibility Complete,Active,"Lithium, Magnesium, Borates, Potash",Lithium,607600.0,tonnes,9848.0,10/16/2023,Brine,"38.568500,-109.734520",Exact,,2024.0,2027.0,2048.0,,38.5685,-109.73452,Grand County,Utah,UT,49019,0.4582,3.6,Moderate,49019,4789.933419,Very Low (<21.9K),6660.122969,Very Low,35.41202673,1.830444757,36.27,Very Low,Very Low (<21.9K),Relatively Low (1.32x - 1.85x),2.797951969,39.39,Very Low,Very Low (<21.9K),Relatively Moderate (1.85x - 2.8x),3.06538854,38.88,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),5.141101239,35.38,Relatively Low,Relatively Low (21.9K - 292K),Very High (>4.58x)
Argosy Minerals Limited,880521,Public,Australia,No,Argosy Minerals Limited,Tonopah,"Big Smokey Valley, South Big Smokey, South TLP, TLP",78320,,100.0,100.0,Argosy Minerals Ltd.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,"Placer, Brine","37.855480,-117.682050",Exact,,,,,,37.85548,-117.68205,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
"Navajo Transitional Energy Company, LLC",273540529,Private,USA,No,"Navajo Transitional Energy Company, LLC",Big Sandy,"NMZ, Northern Mineralised Zone, SMZ, Southern Mineralised Zone",80589,,100.0,100.0,"Navajo Transitional Energy Company, LLC",USA,1.5 Moderate,Feasibility Started,Active,Lithium,Lithium,130000.0,tonnes,2107.0,09/26/2019,Project,"34.709220, -113.569470",Exact,,2027.0,2028.0,2047.0,,34.70922,-113.56947,Mohave County,Arizona,AZ,4015,0.8489,1.5,Very High,4015,14663.66851,Very Low (<21.9K),17118.98712,Very Low,44.89341394,2.737200451,50.78,Relatively Low,Relatively Low (21.9K - 292K),Relatively Moderate (1.85x - 2.8x),3.768212588,52.5,Relatively Low,Relatively Low (21.9K - 292K),Relatively High (2.8x - 4.58x),4.102210629,51.67,Relatively Low,Relatively Low (21.9K - 292K),Relatively High (2.8x - 4.58x),5.953460784,46.77,Relatively Low,Relatively Low (21.9K - 292K),Very High (>4.58x)
