Company Name,Company ID,Company Type,Origin,Is Subsidiary,Parent,Property Name,Also Known As,Property ID,Royalty,Equity,Controlling Ownership,Operator,Country/ Region,Country/Region Risk Score & Outlook,Development Stage,Status,Commodity(s),Primary Commodity,Primary Reserves and Resources,Unit,Total In-Situ Value ($M),Reserves & Resources As Of Date,Project Type,Coordinates,Coordinate Accuracy,Map Link,Construction Start,Production Start,Closure ,Sources/Notes
1459988 B.C. Ltd,1872096256,Private,Canada,No,1459988 B.C. Ltd,Tammela,"Arolanmaki, Forssa, Hervikallio, Hirvikallio, Kietyonmaki, Luutasuo, Main Dyke, Penikoja, Peramaki, Riukka, Satulinmaki, Somero, Torkkomaki",41781,,,0,United Lithium Corp.,Finland,1.3 Moderate,Target Outline,Active,"Lithium, Tin, Tantalum, Gold, Niobium, Caesium",Lithium,,,,,Project,"60.748140,23.472230",Exact,,,,,
A.I.S. Resources Limited,876175,Public,Canada,No,A.I.S. Resources Limited,Incahuasi Salar,Candela II,87696,,,0,American Salars Lithium Inc.,Argentina,2.7 High,Reserves Development,Active,"Lithium, Magnesium, Borates",Lithium,185000.0,tonnes,2998.5,9/18/23,Brine,"-24.321720,-67.608600",Exact,,,,,
A.I.S. Resources Limited,876175,Public,Canada,No,A.I.S. Resources Limited,Salinitas,,81814,,20.0,20,MGX Minerals Inc.,Argentina,2.7 High,Target Outline,Active,Lithium,Lithium,,,,,Project,"-23.796760,-66.130040",Exact,,,,,
A.I.S. Resources Limited,876175,Public,Canada,No,A.I.S. Resources Limited,Salar de Pocitos,"Pocitos 7, Pocitos 9",89850,,100.0,100,A.I.S. Resources Ltd.,Argentina,2.7 High,Target Outline,Active,Lithium,Lithium,,,,,Project,"-24.561230,-67.005050",Exact,,,,,
ACME Lithium Inc.,416156431,Public,Canada,No,ACME Lithium Inc.,Shatford Lake,"Birse Lake, Cat-Euclid Lake, Shatford East",90153,,10.0,0,Snow Lake Resources Ltd.,Canada,1.4 Moderate,Exploration,Active,Lithium,Lithium,,,,,Project,"50.394460,-95.416110",Exact,,,,,
ACME Lithium Inc.,416156431,Public,Canada,No,ACME Lithium Inc.,Birse Lake,,90895,,100.0,100,ACME Lithium Inc.,Canada,1.4 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"50.404040,-95.361360",Exact,,,,,
ACME Lithium Inc.,416156431,Public,Canada,No,ACME Lithium Inc.,Bailey Lake,,91401,,100.0,100,ACME Lithium Inc.,Canada,1.4 Moderate,Grassroots,Active,"Lithium, Tantalum",Lithium,,,,,Project,"59.916830,-103.066850",Exact,,,,,
AVZ Minerals Limited,35699439,Private,Australia,No,AVZ Minerals Limited,Manono,"Carriere de L'est, Carriere de L'este, Coltan Hill, Kahungwe, Kitolo, Kitotolo, Kyoni, Kyoni South, Lukushi, M’Pete, Malata, Mango Road, Manono Extension, Mpete, PE 12202, PE 13359, PR 13359, PR 15775, PR 4029, PR 4030, Roche Dure, Roche Dure extension, Roche Dure North-East Extension, Tempete, Tin",38553,,51.0,51,AVZ Minerals Ltd.,Democratic Republic of the Congo,4.2 Very High,Feasibility Complete,Active,"Lithium, Tin, Tantalum, Caesium, Niobium, Spodumene, Iron Ore, Phosphate",Lithium,13490000.0,tonnes,242837.8,1/22/24,Open Pit,"-7.326490,27.386410",Exact,,,,,https://www.afr.com/markets/equity-markets/former-avz-chairman-slams-racist-shareholders-plots-new-manono-deal-20230707-p5dmmw
Accelerate Resources Limited,429278525,Public,Australia,No,Accelerate Resources Limited,East Pilbara,"E45/6278, E45/6280, Mount Creek, Sandy Creek",89623,,100.0,100,Accelerated Resources Ltd,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Tin, Gold, Lanthanides, Arsenic, Cerium",Lithium,,,,,Project,"-21.263430,120.111710",Exact,,,,,
Accelerate Resources Limited,429278525,Public,Australia,No,Accelerate Resources Limited,Prinsep,"P47/1754, P47/1755",91758,,100.0,100,Accelerated Resources Ltd,Australia,1.4 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"-20.849540, 116.814340",Exact,,,,,
