Company Name,Company Type,SPCIQ Key,Table Type,HOLDER,COMMON_STOCK_EQUIVALENT_HELD__ACTUAL_,PERCENT_OF_COMMON_SHARES_OUTSTANDING____,MARKET_VALUE___M_,CHANGE_IN_SHARES__ACTUAL_,CHANGE____,POSITION_DATE,SOURCE,PORTFOLIO_TURNOVER_CATEGORY,PORTFOLIO_TURNOVER____,INVESTMENT_ORIENTATION,EQUITY_ASSETS___M_,CITY,STATE,COUNTRY,CALCULATED_INVESTMENT_STYLE,CALCULATED_MARKET_CAP_EMPHASIS,OWNER_TYPE,FUNDS,DERIVATIVES_EX__60_DAYS,INSTITUTION_IS_AN_ACTIVIST_
Global Oil Management Group,Private,331733837,No Table Found,,,,,,,,,,,,,,,,,,,,,
2i3 Interactive Inc.,Private,640270799,Shareholders,"Troy James Grant CEO,Director of Corporate Finance & Director",0,0.0,,"-4,730,000",-100.00,3/31/2022,,,,,,"Bedford,",,Canada,,,Individuals/Insiders,,,No
UBS Group AG,Public,416620,Shareholders,UBS Asset Management AG,"227,115,092",7.15,"6,984.1","-4,101,442",-1.77,12/31/2024,Multiple,Very Low,15.6,Active,"1,169,870.97",Zurich,,Switzerland,Growth,Large Cap,Traditional Investment Managers,97.0,,No
UBS Group AG,Public,416620,Shareholders,BlackRock Inc.,"195,254,813",6.15,"6,004.3",0,,12/31/2023,13G,Very Low,6.47,Passive,"6,683,205.41",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,120.0,,No
UBS Group AG,Public,416620,Shareholders,Norges Bank Investment Management,"183,111,351",5.77,"5,630.9","7,086,899",4.03,12/31/2024,13F,,,Active,"1,349,749.94",Oslo,,Norway,Growth,Large Cap,Sovereign Wealth Funds (>5% stake),1.0,,No
UBS Group AG,Public,416620,Shareholders,Vanguard Group Inc.,"127,886,868",4.03,"3,932.7","1,296,428",1.02,12/31/2024,13F,Very Low,2.83,Passive,"7,381,133.77",Malvern,PA,USA,Growth,Large Cap,Traditional Investment Managers,36.0,,No
UBS Group AG,Public,416620,Shareholders,Dodge & Cox,"90,404,342",2.85,"2,780.1","17,032,900",23.22,12/31/2024,Multiple,Very Low,13.25,Active,"265,735.01",San Francisco,CA,USA,GARP,Large Cap,Traditional Investment Managers,6.0,,No
UBS Group AG,Public,416620,Shareholders,Massachusetts Financial Services Company,"81,211,535",2.56,"2,497.4","-10,039,061",-11.00,12/31/2024,13F,Very Low,16.51,Active,"487,287.10",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,48.0,,No
UBS Group AG,Public,416620,Shareholders,FMR LLC,"52,652,539",1.66,"1,619.1","12,137,274",29.96,12/31/2024,13F,Low,21.72,Active,"1,814,835.58",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,45.0,,No
UBS Group AG,Public,416620,Shareholders,ZKB Asset Management,"51,379,092",1.62,"1,580.0","-5,970,432",-10.41,12/31/2024,13F,Very Low,18.33,Active,"54,642.43",Zurich,,Switzerland,Growth,Large Cap,Traditional Investment Managers,11.0,,No
UBS Group AG,Public,416620,Shareholders,Cevian Capital AB,"43,787,401",1.38,"1,346.5",0,,12/31/2024,13F,Very Low,14.48,Active,"13,639.16",Stockholm,,Sweden,GARP,Large Cap,Traditional Investment Managers,,,Yes
UBS Group AG,Public,416620,Shareholders,Capital Research and Management Co.,"37,488,362",1.18,"1,152.8","-1,949,421",-4.94,12/31/2024,Aggregated 13F,Low,21.3,Active,"2,315,098.28",Los Angeles,CA,USA,Growth,Large Cap,Traditional Investment Managers,6.0,,No
UBS Group AG,Public,416620,Shareholders,Pictet Asset Management Ltd.,"34,979,795",1.1,"1,075.7","5,555,624",18.88,12/31/2024,13F,Low,21.86,Active,"151,919.30",London,,United Kingdom,Growth,Large Cap,Traditional Investment Managers,14.0,,No
UBS Group AG,Public,416620,Shareholders,Pzena Investment Management Inc.,"29,590,323",0.93,909.9,"-1,212,143",-3.94,12/31/2024,13F,Low,25.43,Active,"59,721.52",New York,NY,USA,Value,Large Cap,Traditional Investment Managers,7.0,,No
UBS Group AG,Public,416620,Shareholders,Legal & General Investment Management Ltd.,"27,475,001",0.87,844.9,"-7,077,199",-20.48,12/31/2024,13F,Very Low,5.54,Passive,"499,675.80",London,,United Kingdom,Growth,Large Cap,Traditional Investment Managers,17.0,,No
UBS Group AG,Public,416620,Shareholders,Union Asset Management Holding AG,"26,385,915",0.83,811.4,"16,980,092",180.53,12/31/2024,13F,Moderate,53.71,Active,"139,266.16",Frankfurt am Main,,Germany,Growth,Large Cap,Traditional Investment Managers,13.0,,No
UBS Group AG,Public,416620,Shareholders,Deutsche Asset & Wealth Management,"23,719,428",0.75,729.4,"3,568,652",17.71,12/31/2024,13F,Very Low,17.59,Active,"374,931.74",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,30.0,,No
UBS Group AG,Public,416620,Shareholders,Arrowstreet Capital Ltd. Partnership,"20,690,244",0.65,636.3,"-1,448,285",-6.54,12/31/2024,13F,Moderate,68.93,Active,"143,829.54",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,1.0,,No
UBS Group AG,Public,416620,Shareholders,Amundi Asset Management SAS,"18,657,568",0.59,573.7,"1,534,531",8.96,12/31/2024,Multiple,Low,27.88,Passive,"543,055.93",Paris,,France,Growth,Large Cap,Traditional Investment Managers,57.0,,No
UBS Group AG,Public,416620,Shareholders,Zürcher Kantonalbank,"17,993,442",0.57,553.3,0,,9/30/2024,Aggregated Mutual Funds,Very Low,5.15,Active,"15,362.74",Zurich,,Switzerland,GARP,Large Cap,Banks/Investment Banks,8.0,,No
UBS Group AG,Public,416620,Shareholders,Vontobel Asset Management Inc.,"16,445,068",0.52,505.7,"301,394",1.87,12/31/2024,13F,Low,27.44,Active,"35,739.42",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,1.0,,No
UBS Group AG,Public,416620,Shareholders,Dimensional Fund Advisors LP,"15,971,040",0.5,491.1,"-1,264,627",-7.34,12/31/2024,Multiple,Very Low,9.68,Active,"663,262.27",Austin,TX,USA,GARP,Large Cap,Traditional Investment Managers,47.0,,No
